n›;URL;Date;Type d'URL;Type d?acteurs;Theme;Position;Poids;Lu en detail
1;http://alerte-environnement.fr/2010/04/21/les-anti-ondes-toujours-actifs/;2010;Site de militants;Militants (Robin des toits);Dangers des hautes frequences;En faveur des ondes;Faible;Oui
2;http://www.atlantico.fr/pepites/ondes-telephones-portables-exposition-aux-radiofrequences-emises-et-recues-serait-mal-calculee-2917406.html;2016;Site de militants;Militants (Priartem - Pour une reglementation des antennes relais de telephonie mobile - );Dangers des hautes frequences;Anti-ondes;Fort;Oui
3;http://www.lemonde.fr/planete/article/2014/01/22/ondes-une-loi-pour-limiter-l-exposition-de-la-population_4351967_3244.html;2014;Article de presse;Politiques (Parti ?cologiste);Proposition de loi contre l?exposition aux radiofrequences;Anti-ondes;Fort;Oui
4;https://www.sciencesetavenir.fr/sante/les-recommandations-de-l-anses-pour-limiter-l-exposition-aux-radiofrequences_18972;2013;Article scientifique;Organisme (ANSES - Agence nationale de securite sanitaire -);Pas de danger confirme;Neutre;Fort;Oui
5;https://www.quechoisir.org/decryptage-ondes-electromagnetiques-l-argumentaire-des-associations-passe-au-crible-n9569/#le-rapport-bioinitiative-compile-des-centaines-de-travaux-sur-les-dangers-des-ondes;2014;?;Beaucoup de groupes diff?rents;Dangers des hautes frequences;En faveur des ondes;Faible;Oui
6;http://www.icnirp.org/en/frequencies/high-frequency/index.html;?;?;Organisme (ICNIRP);Dangers des hautes frequences;Anti-ondes;Fort;Non
7;http://www.globalhealingcenter.com/natural-health/neuroscientist-confirms-the-danger-of-electromagnetic-radiation/;2015;Article scientifique;Enseignant-chercheur;Dangers des hautes frequences;Anti-ondes;Fort;Oui
8;https://www.defendershield.com/harmful-effects-of-electromagnetic-radiation/;?;Site commercial;Commercial;Vente de solutions de protection contre les radiofrequences;Anti-ondes;Moyen;Oui
9;http://www.makeuseof.com/tag/is-electromagnetic-radiation-dangerous-how-to-protect-yourself/;2014;Article scientifique;Site d'informations;Pas de danger confirme;En faveur des ondes;Faible;Oui
10;https://en.wikipedia.org/wiki/Electromagnetic_radiation_and_health;2017;Wikip?dia;Site d'informations;Les dangers potentiels et les r?glementations;Neutre;Fort;Non
11;https://www.nytimes.com/2014/07/08/science/debate-continues-on-hazards-of-electromagnetic-waves.html?_r=0;2014;Article scientifique;Enseignant-chercheur;Dangers des hautes frequences;Anti-ondes;Faible;Oui
12;https://www.physicsforums.com/threads/how-higher-frequency-em-waves-become-more-dangerous.788592/;2014;Blog;Militants;Dangers des hautes frequences;Anti-ondes;;Non
13;http://www.lapresse.ca/dossiers/201312/02/01-4716749-les-radiofrequences-dangereuses.php;2013;Article scientifique;Organisme (ANSES - Agence nationale de securite sanitaire -);Pas de danger confirme;Neutre;Moyen;Oui
14;http://www.robindestoits.org/Symptomes-repertories-sur-plusieurs-sites-chez-des-personnes-exposees-aux-radiofrequences-de-la-telephonie-par-le-Dr_a277.html;?;Article scientifique;Militants (Robin des toits);Dangers des hautes frequences;Anti-ondes;Moyen;Oui
15;http://www.robindestoits.org/Wi-FI-Bluetooth-DECT-pourquoi-c-est-dangereux-desactiver-le-Wi-fi-et-informer-vos-voisins-par-une-affichette_a1055.html;?;Article scientifique;Militants (Robin des toits);Dangers des hautes frequences;Anti-ondes;Moyen;Oui
16;http://www.tontonhightech.com/sante-dangers-des-ondes-le-classement-entre-wifi-gsm-dect-bluetooth/;2011;Article scientifique;Site d'informations;Pas de danger confirme;En faveur des ondes;Faible;Oui
17;http://hitek.fr/actualite/danger-wifi-experience-biologique_2751;2014;Article;Etudiants;Dangers des hautes frequences;Anti-ondes;Faible;Oui
18;https://www.francoischarron.com/tva/-/qaweIgrhTC/menu/;2017;Blog;Enseignant-chercheur;Dangers des hautes frequences;Neutre;Faible;Oui
19;http://www.futura-sciences.com/sante/actualites/medecine-telephone-portable-pas-effets-indesirables-selon-britanniques-38429/;2012;Article scientifique;Organisme (Agence de protection de la sante britannique);Pas de danger confirme;En faveur des ondes;Fort;Non
20;http://www.alterinfo.net/DANGER-WIFI-_a43787.html;2010;Blog;Enseignant-chercheur;Dangers des hautes frequences;Anti-ondes;Faible;Non
21;http://www.alerte-ondes22.org/index.php/fr/accueil/dernieres-nouvelles/88-zones-blanches-oui-c-est-possible;2017;Site d'association;Militants;Dangers des hautes frequences;Anti-ondes;Faible;Non
22;http://www.alterondes35.org/spip.php?article144;2011;Site d'association;Militants;Dangers des hautes frequences;Anti-ondes;Faible;Non
23;http://www.sante-sans-ondes.org/;?;Site d'association;Militants;Dangers des hautes frequences;Anti-ondes;Faible;Non
24;http://archives-lepost.huffingtonpost.fr/article/2008/06/09/1204956_l-affaire-popcorn-decryptee-par-les-experts.html;06/09/2008;Media;Scientifique;;En faveur des ondes;Fort;Oui
25;http://tempsreel.nouvelobs.com/societe/20131015.OBS1205/danger-des-ondes-un-rapport-plus-alarmiste-qu-il-n-y-parait.html;10/15/2013;Media;Scientifique;ANSES;Dangers des hautes frequences;Fort;Oui
26;http://homo-mobilus.fr/reseau-mobile/ondes-radio-et-sante;;Blog;Organisme;ICNIRP;Dangers des hautes frequences;Fort;Oui
27;https://www.francebleu.fr/infos/societe/paris-une-manifestation-pour-atirer-l-attention-des-maires-sur-les-dangers-du-compteur-linky-1490189802;;Media;Militants;Manifestations;Dangers des hautes frequences;Faible;Oui
