category,start_date,end_date,content_text
Politique et Droit,1995/2/2,,Publication de la loi Barnier contenant un article sur le principe de précaution
Politique et Droit,1999/7/12,,Vote de la recommandation 1999/519/CE de l’UE sur la limitation de l’exposition aux radiofréquences
Expertise scientifique et technique,2000/1/1,2010/5/17,"Réalisation de l’étude Interphone, de l’OMS, visant à connaître l’influence des radiofréquences sur les tumeurs dans 13 pays à l’aide d’un protocole commun"
Technologies,2000/1/1,2013/12/31,3G
Société Civile,2000/10/11,,Création de PRIARTem
Politique et Droit,2002/5/5,,Publication du décret transposant la recommandation 1999/519/CE de juillet 1999 
Presse et médias,2003/4/9,,Affaire St-Cyr (92) - Démantèlement de l’antenne relais
Société Civile,2004/5/19,,Création de l’association Robin des Toits
Politique et Droit,2005/3/1,,Une loi constitutionnelle permet d’intégrer le principe de précaution dans la constitution. 
Presse et médias,2007/8/31,,Le Rapport international Bio Initiative reconnaît les effets de l’exposition aux ondes électromagnétiques.
Politique et Droit,2008/9/18,,Le Tribunal Grandes Instances de Nanterre a ordonné pour la première fois en France le démontage d’une antenne relais de téléphonie mobile au nom du principe de précaution.
Politique et Droit,2008/10/7,,"Patrick BRAOUZEC dans une question écrite, s’appuie sur le rapport Bio Initiative et le vœu du Parlement européen pour que soient revues les valeurs recommandées en 1999, par la Commission européenne, jugées obsolètes pour réclamer la définition d’une valeur limite d’exposition à 0.6 V/m. "
Politique et Droit,2009/2/4,,La Cour d’appel de Versailles a confirmé le jugement du TGI de Nanterre du 18 septembre 2008 et a condamné Bouygues Télécom au démontage de l’antenne ainsi qu’au versement de 7000€ à chacun des 3 couples riverains de l’antenne.
Politique et Droit,2009/2/16,,Le tribunal de grande instance de Carpentras a condamné SFR à démonter une antenne relais situé à 135 m de la maison d’habitation des requérants « pour cause d’un trouble anormal de voisinage car dangereuse pour la santé et constituant une présence visuelle négative et à payer une indemnité de 1500 euros ».
Politique et Droit,2009/3/5,,Le tribunal de grande instance d’Angers du 5 mars 2009  donne raison aux parents d’élèves et riverains qui s’opposaient à l’installation d’une antenne relais de téléphonie mobile Orange sur le clocher de l’église.
Presse et médias,2009/3/23,,Appel au Sénat par le Dr. Dominique Belpomme
Politique et Droit,2009/4/2,,Le Parlement européen a adopté une résolution (2008/2211 INI) qui confirme l’existence d’un risque lié aux champs électromagnétiques pour la santé humaine.
Politique et Droit,2009/7/8,,"M.TERRAT, député, dépose une proposition de loi relative à l’implantation des antennes relais de radiotéléphonie mobile à l’Assemblée Nationale. "
Politique et Droit,2009/8/3,,Publication de la loi n° 2009.967 de programmation relative à la mise en œuvre du Grenelle de l’environnement (Grenelle 1) prévoit la mise en place d’un dispositif de surveillance et de mesure des ondes électromagnétiques
Politique et Droit,2009/12/15,,Le tribunal de grande instance de Lyon convient qu’il n’y a pas lieu d’ordonner le démontage d’une antenne relais de téléphonie mobile à proximité d’une école car aucune étude ne permettait d’établir la réalité d’un risque sérieux de dommage grave.
